Address	Count
YIO CHU KANG ROAD SINGAPORE 540000	1
WOODLEIGH CLOSE LOT 7459 MK 17 SINGAPORE 350000	1
"TUAS SOUTH AVENUE 2/5 MK 7 ON LOTS 2843LPT,2652CPT & 2846WPT SINGAPORE 630000"	1
"TUAS SOUTH AVE 5, 7 & 8 LOT NO. 2495P MK 7 SINGAPORE 630000"	1
"TUAS SOUTH AVE 1, 2 & 3 LOT 3103M MK 7 SINGAPORE 630000"	1
TS15-00609T VICTORIA STREET	1
SENGKANG TOWN NEIGHBOURHOOD 2 CONTRACT 37 SINGAPORE 540000	1
S.L. LOT 4150PT LOYANG WAY NEAR LP 89 SINGAPORE 500000	1
"PUNGGOL ROAD, (PUNGGOL EAST C19), (CONTRACT NO: D/163/08), SINGAPORE 540000"	1
PUNGGOL EAST CONTRACT 18 CONTRACT NO: D/077/08 SINGAPORE 820000	1
PIONEER ROAD SINGAPORE 620000	1
"ONE TREE HILL ROAD, LOT NO 1560,1561 TS 24 (RIVER VALLEY PLANNING AREA) SINGAPORE 248669"	1
NE5C SELETAR COASTAL AREA	1
NE13C SELETAR COASTAL AREA	1
"MK24-05887A, MK24-05888K AT 568 & 570 MACPHERSON ROAD"	1
"MK22-01811M, MK22-05547K, MK22-05546A AT SURIN AVE"	1
MK20-04773K PULAU PUNGGOL TIMOR	1
MK20-01268P AT TAGORE LANE	1
MK13-06064K AT WOODLANDS DRIVE 17	1
MK13-02339M AT 16 SENOKO AVENUE	1
MK11-03584L SUNGEI KADUT DRIVE	1
MK09-01773T AT CLEANTECH LOOP	1
MARINA BARRAGE SINGAPORE 010000	1
LOT: 9414C PT & 9344W MK: 22 HOUGANG STREET 32	1
LOT: 937V MK: TS21 RIVER VALLEY CLOSE	1
LOT: 7874M MK: 22 PAYA LEBAR CONTRACT 1 - HOUGANG AVE 1	1
LOT: 6912M MK: 23 UBI ROAD 1	1
LOT: 4933V MK: 03 AT 55 WEST COAST ROAD	1
LOT: 4674C MK: 20 AT FERNVALE LANE BESIDE BLK 403 (THE TOPIARY)	1
LOT: 4459W MK: 25 AMBER ROAD (MARINE PARADE PLANNING AREA)	1
"LOT: 370X,371L,372C,373M,374W,375V,382K,383N,384X,385L,386C,387M,488L,533C,535W,537P,539A,623M,1409N,1410A MK: 21 LENGKOK ANGSA / PATERSON ROAD (PATERSON 2)"	1
LOT: 3478K MK: 19 AT YISHUN AVE 1/MILTONIA CLOSE (YISHUN PLANNING AREA)	1
LOT: 3340V MK: 19 MILTONIA CLOSE (YISHUN PLANNING AREA)	1
LOT: 3235P & 1609M MK: 19 YISHUN AVENUE 1 / YISHUN STREET 41 (VISTA SPRING @ YISHUN)	1
LOT: 2826K MK: 29 PASIR RIS DRIVE 1 / ELIAS ROAD (REF.: 3-ADDP/971/1029/L0543)	1
"LOT: 251N, 3310, 5353 & 9425C MK: 18 ANG MO KIO AVE 5 / SELETAR ROAD / YIO CHU KANG ROAD"	1
LOT: 2472X MK: 21 PUNGGOL WAY / PUNGGOL FIELD	1
LOT: 2453K MK: 21 SENGKANG EAST AVENUE	1
"LOT: 2252K MK: 34 (PARCEL C16) COVE DRIVE, SENTOSA, SINGAPORE"	1
"LOT: 22 MK: 8035K,8036N,8037X & 9360M HOUGANG STREET 11"	1
LOT: 17034C MK: 18 SERANGOON AVENUE 3	1
LOT: 16986M MK: 18 UPPER THOMSON ROAD	1
LOT: 10610W & 10603X MK: 27 CHANGI BUSINESS PARK CENTRAL 1 (REF.: AEDAS:09001/G1:1055)	1
"LOT: 10018V PT,10021V PT,0490APT,08587X PT,05145N PT MK: 24 AT THE JUNCTION OF SIMS AVENUE  AND SIMS WAY"	1
LOT: 09582C MK: 22 KOVAN ROAD/SIMON ROAD	1
LOT: 09309V MK: 17 AT WHAMPOA DRIVE OPP WHAMPOA DRIVE MARKET	1
"LOT: 09149W PT, 09495W PT, 09498T PT, 09500N PT, 09496V PT, 09501X PT MK: 22 UPPER SERANGOON VIEW"	1
LOT: 08639M MK: 5 CLEMENTI AVE 4 ( BESIDES BLK 310)	1
LOT: 06398K MK: 26 AT NO. 63 - 73C LORONG M TELOK KURAU	1
LOT: 06314A MK: 05 WEST COAST LINK	1
LOT: 04951L MK: 23 AT CHANGI ROAD BESIDE GEYLANG SERAI MARKET & FOOD CENTRE	1
LOT: 04935T MK: 10 AT BUKIT BATOK WEST AVENUE 8	1
LOT: 04343A PT MK: 03 AT ESTATE OFFICE DRIVE	1
"LOT: 03398V, 99250W MK: 02 RIDLEY PARK (TANGLIN PLANNING AREA)"	1
LOT: 02595V MK: 16 AT CHESTNUT AVENUE	1
LOT: 02560L PT MK: 16 AT THE JUNCTION OF DAIRY FARM ROAD AND PETIR ROAD	1
LOT: 02445M MK: 06 BENOI SECTOR / BENOI CRESCENT (BESIDE 21 BENOI SECTOR)	1
LOT: 02359T MK: 21 RIVERVALE CRESCENT (SENGKANG NEIGHBOURHOOD 1 CONTRACT 27)	1
"LOT: 01740T, 01741A, 01742K, 01743N, 01744X, 01745L, 01746C, 01747M & 01748W MK: 25 IPOH LANE"	1
LOT: 01338M & 02500N MK: 17 AT KALLANG AVENUE (CT HUB)	1
LOT: 00709N MK: 28 AT NEWTON ROAD	1
LOT: 00240K & 00241N MK: 14 MANDAI ESTATE	1
LOT: 00202V PT. & 00203P MK: 14 MANDAI ESTATE	1
"LOT: 0 MK: 25 LOT 02442C,02441W,06815X,06816L, NICOLL HIGHWAY"	1
"LOT: 0 MK: 0 WOODLANDS NEIGHBOURHOOD 1, CONTRACT 19, CONTRACT NO. D/038/11"	1
"LOT: 0 MK: 0 TANJONG KLING ROAD (OLD), JALAN BUROH (OLD) AND PIONEER ROAD (CONTRACT NO.: JTC C03402010)"	1
LOT: 0 MK: 0 PLOT 1 AT KEPPEL BAY - REFLECTIONS AT KEPPEL BAY SINGAPORE 090000	1
LOT: 0 MK: 0 PART A:BUILDING WORKS AT BUKIT PANJANG NEIGHBOURHOOD 6 CONTRACT 11 & NEIGHBOURHOOD PARK BESIDE WEST SPRING SECONDARY SCHOOL PART B: CONTINGENCY WORKS AS STATED IN WORKS ORDER-HDB CONTRACT NO.:D/303/11	1
"LOT: 0 MK: 0 MK19 LOT 01598C, 01606X, 01609M(PT), 01664T(PT), 01690C(PT), 02958W(PT), 01669L(PT), 01693V(PT)  AT YISHUN AVENUE 6 HDB CONTACT NO: D/264/11"	1
LOT: 0 MK: 0 CHOA CHU KANG NEIGHBOURHOOD 5 CONTRACT 12	1
LOT: 0 MK: 0 BUILDING WORKS AT SENGKANG NEIGHBOURHOOD 3 CONTRACT 21 & 22 AT ANCHORVALE STREET (FARMWAY LRT STATION)-HDB CONTRACT NO:D400/11	1
LOT: 0 MK: 0 AT VARIOUS LOCATIONS-CONTRACT NO: D/035/12	1
"LOT: 0 MK: 0 AT PASIR RIS DRIVE 4, PASIR RIS DRIVE 3, JALAN LOYANG BESAR, PASIR RIS STREET 51, PASIR RIS DRIVE 1 AND NEW ROAD CONTRUCTION FOR PROPOSED PASIR RIS RISE & PASIR RIS LINK-CONTRACT NO: D/548/11"	1
LOT: 0 MK: 0 AT 15 & 17 MARGOLIOUTH ROAD	1
LOT: 0 MK: 0 AMBER GARDENS LOT 3392A & 3393K MK 25 SINGAPORE 430000	1
LOT 9934 MK 18 ANG MO KIO AVENUE 5 SINGAPORE 560000	1
LOT 832N & 635A(PT) SL TS 28  NEWTON ROAD  SINGAPORE 300000	1
LOT 7053 MK 28 SIMEI ROAD SINGAPORE 520000	1
LOT 6617 MK 23 UBI AVENUE 4 SINGAPORE 400000	1
LOT 4249 MK 20 JALAN KAYU SINGAPORE 790000	1
LOT 4150PT M31 AT LOYANG WAY	1
LOT 00735V MK30 AT TAMPINES ROAD	1
LOT 00196PT TS30 AT MARINA MALL	1
"LOT 00029N(PT), 00554X(PT),00558W(PT) LOT 01745A(PT),99730C(PT),99731M(PT) LOT 99732W(PT),99735T(PT) OFF PUNGGOL RD SINGAPORE 820000"	1
JURONG WEST ST 93 / PIONEER ROAD NORTH SINGAPORE 640000	1
JURONG ISLAND PHASE 4 & TUAS VIEW SINGAPORE 620000	1
JUNCTION OF TUAS SOUTH AVENUE 14 & 5 SINGAPORE 630000	1
FLORA ROAD LOT 4492C MK 31 SINGAPORE 500000	1
FC96E PULAU UBIN COASTAL AREA	1
FC91E PULAU UBIN COASTAL AREA	1
FC81E PUALU UBIN (NANAS CHANNEL)	1
FC7W LIM CHU KANG COASTAL AREA	1
FC5W LIM CHU KANG COASTAL AREA	1
FC50E SERANGOON COASTAL AREA	1
FC47E SERANGOON COASTAL AREA	1
FC34W LIM CHU KANG COASTAL AREA	1
FC26W LIM CHU KANG COASTAL AREA	1
FC25W LIM CHU KANG COASTAL AREA	1
FC24W LIM CHU KANG COASTAL AREA	1
FC22W LIM CHU KANG COASTAL AREA	1
FC21E PULAU UBIN COASTAL AREA	1
FC15W LIM CHU KANG COASTAL AREA	1
FC14W LIM CHU KANG COASTAL AREA	1
FC12E PULAU UBIN COASTAL AREA	1
FC11W LIM CHU KANG COASTAL AREA	1
FC106E PULAU TEKONG COASTAL AREA	1
FC102E PULAU UBIN COASTAL AREA	1
FC(I)108E PULAU UBIN COASTAL AREA (PU1)	1
E39C PULAU UBIN COASTAL AREA	1
CONTRACT 828 NICOLL HIGHWAY & BOULEVARD INCLUDING TUNNELS SINGAPORE 180000	1
CHANGI BUSINESS PARK AVENUE 3 (PLOTS 7 & 14) SINGAPORE 480000	1
BUILDING PLOT 4 URA LAND PARCEL 586 TUAS SOUTH AVE 1/2 SINGAPORE 630000	1
BOON LAY WAY AND JURONG WEST STREET 51 / STREET 41 SINGAPORE 640000	1
"BANYAN BASIN, JURONG ISLAND REF: JRC/BEDCM/09/111 SINGAPORE 620000"	1
92 EMERALD HILL ROAD SINGAPORE 220000	1
9 TAGORE LANE  SINGAPORE 787472	1
9 POOLE ROAD SINGAPORE 437495	1
85/87 CEYLON ROAD SINGAPORE 429662	1
827 BUKIT TIMAH ROAD SINGAPORE 279886	1
81 CHEVIOT HILL SINGAPORE 459661	1
8 BLANDFORD DRIVE  SERANGOON GARDEN ESTATE SINGAPORE 559802	1
7A CHIN BEE DRIVE SINGAPORE 619858	1
75 MARNE ROAD SINGAPORE 208389	1
74 TREVOSE CRESCENT SINGAPORE 298086	1
72 BERWICK DRIVE  SERANGOON GARDEN ESTATE SINGAPORE 559940	1
70 CHUN TIN ROAD MANDARIN PARK SINGAPORE 599646	1
64 CASUARINA ROAD  SEMBAWANG HILLS ESTATE SINGAPORE 579452	1
63 JOO KOON CIRCLE SINGAPORE 629076	1
63 DALVEY ROAD SINGAPORE 250000	1
60 JALAN TENON  CHARLTON PARK SINGAPORE 537272	1
6 CHIN BEE AVENUE SINGAPORE 619930	1
589 EAST COAST ROAD SINGAPORE 429081	1
56 PASIR RIS TERRACE  PASIR RIS BEACH PARK SINGAPORE 518700	1
"55A FRANKEL AVENUE, (BEDOK PLANNING AREA), SINGAPORE 458183"	1
52A JALAN SENANG SINGAPORE 418344	1
5 JERVOIS HILL SINGAPORE 247710	1
48 JALAN JAMBU AYER  HOCK SENG PARK SINGAPORE 588798	1
"463 PASIR PANJANG ROAD VILLAGE, THE SINGAPORE 118797"	1
460 ALEXANDRA ROAD #27-01 PSA BUILDING SINGAPORE 119963	1
44 FABER DRIVE  FABER HILLS SINGAPORE 129374	1
"40 TERANG BULAN AVENUE, OPERA ESTATE, SINGAPORE 455563"	1
4 SUNGEI KADUT STREET 2  SUNGEI KADUT INDUSTRIAL ESTATE SINGAPORE 729226	1
4 LOTUS AVENUE LUCKY PARK SINGAPORE 277595	1
4 BIN TONG PARK  BIN TONG PARK SINGAPORE 269787	1
3A EWART PARK EWART PARK SINGAPORE 279734	1
38 JALAN PEMIMPIN SINGAPORE 577178	1
341 RIVER VALLEY ROAD SINGAPORE 238372	1
34 & 82 NGEE ANN POLYTECHNIC SINGAPORE 599489	1
31 SECOND STREET SINGAPORE 456338	1
31 PHENG GECK AVENUE SENNETT ESTATE SINGAPORE 348226	1
303 ALEXANDRA ROAD SINGAPORE 150000	1
30 TUAS AVENUE 2 SINGAPORE 639461	1
3 KIM CHUAN LANE SINGAPORE 537069	1
29 & 31 NEW INDUSTRIAL ROAD SINGAPORE 530000	1
28 TOH CRESCENT SINGAPORE 507937	1
28 METROPOLE DRIVE  OPERA ESTATE SINGAPORE 456705	1
25C SENOKO WAY # 01 - 01 SINGAPORE 758061	1
25 LOYANG CRESCENT LOYANG OFFSHORE SUPPLY BASE SINGAPORE 508988	1
24 JALAN JAMBU MAWAR  HOCK SENG PARK SINGAPORE 588685	1
233 TEMBELING ROAD SINGAPORE 423718	1
"23 TUAS VIEW CIRCUIT, (REF: 2008/L1001), SINGAPORE 637768"	1
23 NEWTON ROAD  L'VIV SINGAPORE 307955	1
228A PANDAN LOOP SINGAPORE 128414	1
21 TUAS SOUTH AVENUE 1 SINGAPORE 637725	1
21 TOH YI DRIVE  GOLDEN KISMIS SINGAPORE 590021	1
21 LORONG HOW SUN  LUSHAN GARDEN SINGAPORE 536508	1
20 PENNEFATHER ROAD SINGAPORE 424444	1
2 COWDRAY AVENUE  SERANGOON GARDEN ESTATE SINGAPORE 558004	1
1A LANTANA AVENUE LUCKY PARK SINGAPORE 277896	1
16 BARKER ROAD SINGAPORE 309891	1
15A JUBILEE ROAD SINGAPORE 128545	1
15 GOLDHILL VIEW  GOLDHILL GARDEN SINGAPORE 308836	1
15 CASSIA DRIVE RAFFLES PARK SINGAPORE 289708	1
131 STEVENS ROAD SINGAPORE 257869	1
13 ASTRID HILL SINGAPORE 269937	1
127 LORONG L TELOK KURAU SINGAPORE 420000	1
121 SIGLAP ROAD  FRANKEL ESTATE SINGAPORE 455907	1
12 TUAS AVENUE 16 SINGAPORE 638935	1
12 HAIGSVILLE DRIVE SINGAPORE 438704	1
12 BROCKHAMPTON DRIVE  SERANGOON GARDEN ESTATE SINGAPORE 559061	1
101 MERGUI ROAD SINGAPORE 219067	1
10 TOH GUAN ROAD #04-00  T T INTERNATIONAL TRADEPARK SINGAPORE 608838	1
1 TYRWHITT ROAD SINGAPORE 207522	1
1 TUAS SOUTH AVENUE 6 THE WESTCOM SINGAPORE 637021	1
1 SURREY ROAD SINGAPORE 307740	1
1 SHENTON WAY SINGAPORE 060000	1
1 SELEGIE ROAD #06-02 POMO  SINGAPORE 188306	1
1 JALAN TANJONG SINGAPORE 468006	1
1 FERNHILL CRESCENT FERNHILL GARDEN SINGAPORE 259156	1
-	1
MK23-02711V AT FOO KIM LIN ROAD	2
